1,19032011233604398006,6,0
2,19032011235001768006,6,0
3,19032217025088781006,6,0
4,19032217034912947006,6,0
5,19032217043988494006,6,0
6,19032217183576370006,6,0
7,19032217190532791006,6,0
8,19032615174337359006,6,0
9,19032815195697667004,4,0
10,19032817222466477031,31,0
11,19032817593285310031,31,0
12,19032818011923547031,31,0
13,19032818013481964031,31,0
14,19032910203282968031,31,0
15,19032910203997490031,31,0
16,19033010524744033031,31,0
17,19033014543649780031,31,0
18,19033015034204337031,31,0
19,19033015052517591031,31,0
20,19033015282201878031,31,0
21,19033018253989489031,31,0
22,19033018285495466031,31,0
23,19033018293576537031,31,0
24,19033018301339496031,31,0
25,19033018311120660031,31,0
26,19033018340464783031,31,0
27,19033110364208150031,31,0
28,19033110372142684031,31,0
29,19033110382595399031,31,1
30,19033110470066332031,31,1
31,19033110565189640031,31,1
32,19033110594285375031,31,1
33,19033111015341381031,31,1
34,19033111162671347031,31,0
35,19033111164202362031,31,1
36,19040115235301657033,33,1
37,19040115354510395033,33,1
38,19040115494266938033,33,1
39,19040115584869426034,34,0
40,19040115590089941034,34,1
41,19040117280526340034,34,1
42,19040117395305449034,34,1
43,19040119431967578034,34,1
44,19040120523375752035,35,1
45,19040210430891047034,34,1
46,19040215035962711036,36,0
