39,1552895830,2,1552896738,1552896937,0
41,1552895853,1,1552897161,1552897357,0
43,1552895952,4,1552897503,1552897575,0
45,1552896135,14,1552896135,1552896295,0
46,1552896295,14,1552896295,1552897075,0
47,1552896937,2,1552897499,1552897618,0
48,1552897075,14,1552897075,1552897235,0
49,1552897235,14,1552897235,1552897395,0
50,1552897357,1,1552897641,1552897738,0
51,1552897395,14,1552897395,1552897575,0
52,1552897575,4,1552897703,1552897777,0
53,1552897575,14,1552897575,1552897715,0
54,1552897618,2,1552898400,1552898519,0
55,1552897715,14,1552897715,1552897836,0
56,1552897738,1,1552897902,1552898079,0
57,1552897777,4,1552897980,1552898184,0
58,1552897836,14,1552897836,1552897988,0
59,1552897988,14,1552897988,1552898155,0
60,1552898079,1,1552900783,1552903228,0
61,1552898155,14,1552898155,1552898355,0
62,1552898184,4,1552898386,1552898484,0
63,1552898355,14,1552898355,1552898515,0
64,1552898484,4,1552898564,1552898644,0
65,1552898515,14,1552898515,1552898735,0
66,1552898519,2,1552900523,1552903266,0
67,1552898644,4,1552898649,1552898745,0
68,1552898735,14,1552898735,1552898895,0
69,1552898745,4,1552898745,1552899205,0
70,1552898895,14,1552898895,1552899155,0
71,1552899155,14,1552899155,1552899426,0
72,1552899205,4,1552899623,1552899726,0
73,1552899426,14,1552899451,1552899615,0
74,1552899615,14,1552899615,1552899775,0
75,1552899726,4,1552899791,1552899936,0
76,1552899775,14,1552899775,1552899915,0
77,1552899915,14,1552899915,1552900075,0
78,1552899936,4,1552899977,1552900069,0
79,1552900069,4,1552900110,1552900211,0
80,1552900075,14,1552900075,1552900235,0
81,1552900211,4,1552900353,1552900526,0
82,1552900235,14,1552900235,1552900375,0
83,1552900375,14,1552900411,1552903275,0
84,1552900526,4,1552900527,1552903154,0
85,1552903154,4,1552903178,1552903253,0
86,1552903228,1,1552903330,1552903427,0
87,1552903253,4,1552903460,1552906360,0
88,1552903266,2,1552904809,1552904929,0
89,1552903275,14,1552903275,1552903455,0
90,1552903427,1,1552903428,1552903528,0
91,1552903455,14,1552903455,1552903595,0
92,1552903528,1,1552903628,1552903771,0
93,1552903595,14,1552903595,1552903755,0
94,1552903755,14,1552903755,1552903915,0
95,1552903771,1,1552903871,1552903945,0
96,1552903915,14,1552903915,1552904075,0
97,1552903945,1,1552904212,1552904336,0
98,1552904075,14,1552904075,1552904215,0
99,1552904215,14,1552904215,1552904375,0
100,1552904336,1,1552904336,1552904430,0
101,1552904375,14,1552904375,1552904555,0
102,1552904430,1,1552904908,1552905053,0
103,1552904555,14,1552904555,1552904815,0
104,1552904815,14,1552904815,1552905275,0
105,1552904929,2,1552905751,1552905890,0
106,1552905053,1,1552906054,1552906233,0
107,1552905275,14,1552905275,1552905495,0
108,1552905495,14,1552905495,1552906315,0
109,1552905890,2,1552909876,1552909957,0
110,1552906233,1,1552907076,1552907315,0
111,1552906315,14,1552906315,1552906635,0
112,1552906360,4,1552906360,1552907754,0
113,1552906635,14,1552906635,1552907695,0
114,1552907315,1,1552909443,1552909589,0
115,1552907695,14,1552907706,1552909657,0
116,1552907754,4,1552907754,1552907917,0
117,1552907917,4,1552907917,1552908113,0
118,1552908113,4,1552908178,1552908299,0
119,1552908299,4,1552908414,1552908539,0
120,1552908539,4,1552908539,1552908667,0
121,1552908667,4,1552908667,1552908865,0
122,1552908865,4,1552908865,1552909040,0
123,1552909040,4,1552909040,1552909499,0
124,1552909499,4,1552909560,1552909844,0
125,1552909589,1,1552909589,1552909713,0
126,1552909657,14,1552909657,1552915559,0
127,1552909713,1,1552909760,1552910262,0
128,1552909844,4,1552910241,1552910493,0
129,1552909957,2,1552910096,1552910418,0
130,1552910262,1,1552910643,1552910723,0
131,1552910418,2,1552910698,1552910897,0
132,1552910493,4,1552910736,1552910822,0
133,1552910723,1,1552913566,1552913686,0
134,1552910822,4,1552910919,1552911042,0
