1,1,1,0,1_2018122410142615977.jpg,0,1
2,2,1,0,1_2018122410333419604.jpg,0,1
3,2,1,0,1_2018122410355145396.jpg,0,0
4,3,1,0,1_2018122410455759348.jpg,0,1
5,4,1,0,1_2018122411052426009.jpg,0,1
6,5,1,0,1_2018122411282656747.jpg,0,1
7,6,1,0,1_2018122411344163561.jpg,0,1
8,7,1,0,1_2018122411594299026.jpg,0,1
9,8,1,0,1_2018122412020753375.jpg,0,1
10,9,1,0,1_2018122412073318786.jpg,0,1
11,10,1,0,1_2019032815043767540.jpg,0,1
12,11,4,0,4_2019032816222776182.jpg,0,1
13,12,4,0,4_2019033014535826300.jpg,0,1
14,13,4,0,4_2019042221274299331.jpg,0,1
15,14,4,0,4_2019042221294859144.jpg,0,1
16,15,4,0,4_2019042221343853131.jpg,0,1
