2018-11-22 15:41:23,1,"b'{""msgType"":1,""time"":1542872480,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""date""}]}'",,571,1
2018-11-22 15:41:38,2,"b'{""msgType"":1,""time"":1542872495,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""date""}]}'",,1,571
2018-11-22 15:41:42,3,"b'{""msgType"":1,""time"":1542872499,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""date""}]}'",,571,1
2018-11-22 15:41:49,4,"b'{""msgType"":1,""time"":1542872506,""clientType"":1,""content"":[{""shake"":1}]}'",,571,1
2018-11-22 15:42:00,5,"b'{""msgType"":1,""time"":1542872517,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""daet""}]}'",,1,571
2018-11-22 15:42:09,6,"b'{""msgType"":1,""time"":1542872526,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""ddddddddddddd""}]}'",,571,1
2018-11-22 15:42:24,7,"b'{""msgType"":1,""time"":1542872541,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""dsfsd""}]}'",,571,1
2018-11-22 15:43:54,8,"b'{""msgType"":1,""time"":1542872631,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""date""}]}'",,1,571
2018-11-22 15:57:54,9,"b'{""clientType"":1,""content"":[{""msgText"":""\xe6\x88\x91\xe5\x9c\xa8\xe7\xba\xbf\xe5\x95\xa6!""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542873474}\n'",,571,1
2018-11-22 15:58:15,10,"b'{""msgType"":1,""time"":1542873492,""clientType"":1,""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",12,0,0,0,0],""content"":[{""msgText"":""date""}]}'",,1,571
2018-11-22 15:58:15,11,"b'{""clientType"":1,""content"":[{""msgText"":""\xe4\xbf\xa1\xe6\x81\xaf\xe5\xb7\xb2\xe9\x80\x81\xe8\xbe\xbe""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542873495}\n'",,571,1
2018-11-22 16:03:02,12,"b'{""clientType"":1,""content"":[{""msgText"":""\xe6\x88\x91\xe5\x9c\xa8\xe7\xba\xbf\xe5\x95\xa6!""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542873782}\n'",,571,1
2018-11-22 16:03:51,13,"b'{""clientType"":1,""content"":[{""msgText"":""\xe6\x88\x91\xe5\x9c\xa8\xe7\xba\xbf\xe5\x95\xa6!""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542873831}\n'",,571,1
2018-11-22 16:03:53,14,"b'{""clientType"":1,""content"":[{""msgText"":""\xe6\x88\x91\xe5\x9c\xa8\xe7\xba\xbf\xe5\x95\xa6!""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542873833}\n'",,571,1
2018-11-22 16:04:09,15,"b'{""clientType"":1,""content"":[{""msgText"":""\xe6\x88\x91\xe5\x9c\xa8\xe7\xba\xbf\xe5\x95\xa6!""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542873849}\n'",,571,1
2018-11-22 16:09:31,16,"b'{""clientType"":1,""content"":[{""msgText"":""\xe6\x88\x91\xe5\x9c\xa8\xe7\xba\xbf\xe5\x95\xa6!""}],""font"":[""\xe5\xbe\xae\xe8\xbd\xaf\xe9\x9b\x85\xe9\xbb\x91"",16,0,0,0,0],""msgType"":1,""time"":1542874171}\n'",,571,1
